City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,raghogarh,24.45,77.2,19.92,46,20,1.63,IN,1706983313
218,dryden,49.7833,-92.7503,-2.84,86,0,4.12,CA,1706982990
219,wynyard,-41.0,145.7167,15.0,94,70,1.87,AU,1706983314
220,vorgashor,67.5833,63.95,-18.65,91,100,4.61,RU,1706983314
221,mount gambier,-37.8333,140.7667,13.15,94,2,1.71,AU,1706983314
222,inhambane,-23.865,35.3833,24.81,79,81,3.18,MZ,1706983314
223,katsuura,35.1333,140.3,7.82,87,100,3.89,JP,1706983017
224,carauari,-4.8828,-66.8958,29.86,76,79,1.52,BR,1706983314
225,fort bragg,35.139,-79.006,12.03,46,0,2.24,US,1706983315
226,kourou,5.1552,-52.6478,32.03,66,82,3.58,GF,1706982904
227,qaqortoq,60.7167,-46.0333,-17.35,70,9,3.88,GL,1706983315
228,molo,-0.2479,35.7374,12.9,73,90,1.23,KE,1706983315
229,cananeia,-25.0147,-47.9267,27.35,72,31,2.66,BR,1706983315
230,leribe,-28.8718,28.045,17.11,81,90,1.2,LS,1706983315
231,majene,-3.5403,118.9707,26.61,82,100,3.44,ID,1706983315
232,qui nhon,13.7667,109.2333,21.75,91,54,2.03,VN,1706983316
233,moyynkum,44.2914,72.9469,-7.01,89,76,2.89,KZ,1706983316
234,kulhudhuffushi,6.6221,73.07,27.84,76,55,4.43,MV,1706982885
235,tura,25.5198,90.2201,12.02,34,0,1.74,IN,1706983316
236,broken hill,-31.95,141.4333,27.69,17,99,4.03,AU,1706983255
237,ta`u,-14.2336,-169.5144,27.81,84,100,6.83,AS,1706983316
238,nemuro,43.3236,145.575,-5.11,68,21,7.0,JP,1706983255
239,newman,37.3138,-121.0208,10.72,80,93,0.89,US,1706983316
240,maqat,47.65,53.3167,-2.49,92,31,5.19,KZ,1706983317
241,portland,45.5234,-122.6762,9.6,87,40,1.54,US,1706982844
242,krasnomayskiy,57.6194,34.4099,-1.96,96,100,3.87,RU,1706983317
243,carbonear,47.7332,-53.2148,-1.03,86,99,7.12,CA,1706983317
244,uturoa,-16.7333,-151.4333,27.77,74,93,5.04,PF,1706983317
245,macclenny,30.2822,-82.1221,22.1,43,7,1.79,US,1706983317
246,kodiak,57.79,-152.4072,-4.27,80,100,0.0,US,1706982817
247,akot,21.0964,77.0586,23.57,31,0,2.61,IN,1706983318
248,massawa,15.6097,39.45,24.24,65,52,3.97,ER,1706983318
249,christchurch,-43.5333,172.6333,8.6,86,29,2.06,NZ,1706983000
250,panguipulli,-39.6333,-72.3333,26.87,20,75,2.71,CL,1706983318
251,carutapera,-1.195,-46.02,30.07,62,83,3.31,BR,1706983055
252,hasaki,35.7333,140.8333,5.16,71,100,2.75,JP,1706982836
253,hamilton,39.1834,-84.5333,9.31,65,4,2.68,US,1706983319
254,nilsia,63.2,28.0833,-2.08,90,70,2.69,FI,1706983319
255,nyurba,63.2842,118.3319,-21.8,90,100,3.21,RU,1706983015
256,puerto leguizamo,-0.1934,-74.7819,26.05,93,99,1.06,CO,1706983029
257,mar del plata,-38.0023,-57.5575,26.01,53,0,9.39,AR,1706983105
258,shalya,57.2471,58.7298,-9.7,95,100,3.7,RU,1706983319
259,pontianak,-0.0333,109.3333,24.99,100,100,0.51,ID,1706983058
260,vilyuchinsk,52.9306,158.4028,-18.85,82,71,4.29,RU,1706983320
261,port saint john's,-31.6229,29.5448,24.15,88,96,4.75,ZA,1706983320
262,sal rei,16.1833,-22.9167,27.11,50,79,6.69,CV,1706983320
263,liberal,37.0431,-100.921,11.08,58,0,6.17,US,1706983320
264,pandan,14.0453,124.1694,25.22,83,17,4.73,PH,1706983019
265,sohbatpur,28.5202,68.5434,15.79,59,97,0.52,PK,1706983321
266,alofi,-19.0595,-169.9187,24.94,100,100,1.54,NU,1706983321
267,conceicao do araguaia,-8.2578,-49.2647,28.82,67,91,2.14,BR,1706983321
268,duyun,26.2667,107.5167,2.21,98,100,2.17,CN,1706983321
269,college,64.8569,-147.8028,-38.64,67,100,1.54,US,1706983321
270,avarua,-21.2078,-159.775,25.03,94,75,2.06,CK,1706983321
271,azovo,54.6997,73.0237,-16.14,96,97,2.68,RU,1706983322
272,itaberai,-16.0203,-49.8103,28.11,56,98,2.66,BR,1706983322
273,santana,-0.0583,-51.1817,31.1,70,40,3.09,BR,1706983322
274,igrim,63.1906,64.4162,-24.24,100,36,1.62,RU,1706982875
275,petropavlovsk-kamchatsky,53.0452,158.6483,-19.67,85,0,4.0,RU,1706983323
276,port-vila,-17.7338,168.3219,27.23,86,96,5.23,VU,1706983323
277,sake,-1.5736,29.045,19.31,85,98,0.81,CD,1706983323
278,ooty,11.4,76.7,11.16,85,40,1.2,IN,1706983323
279,kasongo-lunda,-6.4667,16.8167,22.82,91,100,1.19,CD,1706983002
280,simplicio mendes,-7.8539,-41.9103,31.33,46,71,2.55,BR,1706983324
281,howrah,22.5892,88.3103,20.0,77,0,2.06,IN,1706982851
282,batesville,35.7698,-91.641,15.8,71,0,2.06,US,1706983169
283,as sulayyil,20.4607,45.5779,17.14,24,0,6.69,SA,1706983324
284,barakani,-12.1356,44.4317,27.68,77,78,1.09,KM,1706983324
285,dwarka,22.2394,68.9678,23.48,69,0,4.19,IN,1706982974
286,vung tau,10.346,107.0843,25.17,87,45,6.52,VN,1706983325
287,yuzhno-kurilsk,44.0306,145.8556,-4.24,71,92,6.35,RU,1706983325
288,marsa alam,25.0757,34.8918,17.62,64,2,4.99,EG,1706983325
289,kem',64.9555,34.5793,-5.02,95,100,6.92,RU,1706983325
290,zhumysker,49.3333,49.4,-2.31,90,99,5.28,KZ,1706983326
291,northam,51.0333,-4.2167,11.33,99,98,7.13,GB,1706983326
292,oroqen zizhiqi,50.5667,123.7167,-26.24,96,6,1.68,CN,1706983326
293,kahama,-3.8333,32.6,19.54,89,43,1.18,TZ,1706983326
294,lander,42.833,-108.7307,1.66,97,100,2.57,US,1706983326
295,itoman,26.1247,127.6694,23.43,88,75,4.12,JP,1706983327
296,korla,41.7597,86.1469,-6.04,84,13,2.92,CN,1706983229
297,forster,-32.1667,152.5167,18.49,96,14,4.54,AU,1706983327
298,pico truncado,-46.7949,-67.9573,17.94,14,2,2.98,AR,1706983327
299,aoulef,26.9667,1.0833,17.96,22,0,4.98,DZ,1706983327
300,al kharijah,25.4514,30.5464,12.37,31,0,3.49,EG,1706982763
301,levuka,50.1834,-105.4011,1.84,67,8,3.44,CA,1706983328
302,namibe,-15.1961,12.1522,26.16,81,96,2.85,AO,1706982833
303,tadine,-21.55,167.8833,26.37,88,100,8.38,NC,1706982856
304,koungou,-12.7336,45.2042,28.84,79,0,2.06,YT,1706983328
305,bubaque,11.2833,-15.8333,26.17,70,0,6.4,GW,1706983329
306,saint-laurent-du-maroni,5.5039,-54.0289,33.0,51,96,3.1,GF,1706983329
307,chinde,26.8418,88.0763,8.03,65,32,1.71,NP,1706983329
308,ascension,30.2169,-90.9001,15.0,93,100,4.12,US,1706983134
309,kailua-kona,19.6406,-155.9956,21.39,86,8,0.45,US,1706983329
310,labuan bajo,-8.4964,119.8877,25.79,86,100,0.92,ID,1706983330
311,cidreira,-30.1811,-50.2056,26.59,70,0,6.48,BR,1706983330
312,tazacorte,28.629,-17.9293,21.54,68,20,1.03,ES,1706983330
313,camabatela,-8.1881,15.375,19.07,91,100,0.47,AO,1706983331
314,west end,26.6833,-78.9667,22.99,65,9,2.36,BS,1706983331
315,irvine,33.6695,-117.8231,16.36,66,70,0.89,US,1706983199
316,geraldton,-28.7667,114.6,21.23,73,100,11.83,AU,1706983332
317,papao,-17.75,-149.55,28.82,77,82,5.25,PF,1706983332
318,la gi,10.6667,107.7833,23.9,90,27,4.55,VN,1706983332
